cluster 0 gene,cluster 0 score,cluster 1 gene,cluster 1 score,cluster 2 gene,cluster 2 score,cluster 3 gene,cluster 3 score,cluster 4 gene,cluster 4 score,cluster 5 gene,cluster 5 score,cluster 6 gene,cluster 6 score,cluster 7 gene,cluster 7 score,cluster 8 gene,cluster 8 score,cluster 9 gene,cluster 9 score,cluster 10 gene,cluster 10 score,cluster 11 gene,cluster 11 score
Myl12b,50.982296,Rpl10,39.960247,Prkar1a,39.77398,Fgf7,71.393005,Pls3,56.468887,Ndufs6,41.941753,Gpr137b,54.871777,Rpl13,40.89152,Rpl29,49.514957,Spc24,60.477287,Pomp,11.931965,Trim2,12.00898
Aplp2,50.78424,Grb10,39.89236,Fuca1,39.480495,Emp3,71.28724,Myh9,56.370758,Atp5g1,41.866947,Rlim,54.514492,Gap43,40.88508,Mrpl18,49.464092,Tdh,60.078503,Rpl38,11.909748,Nxf7,11.957452
Atp2b1,50.72751,Ifitm2,39.73662,Tmed3,39.469646,C1qtnf6,71.22574,Serinc3,56.339436,Cacybp,41.710865,Isg20,54.46106,Ppia,40.844265,Emg1,49.173588,Usp26,59.82981,Ndufa3,11.908557,Vcam1,11.93859
Cdv3,50.622044,Rps27,39.5088,Dok1,39.25743,Tmem45a,71.146355,Dbn1,55.65153,Chchd4,41.599575,Gsn,54.424496,Pdcd5,40.329113,Ruvbl2,49.09844,Cisd1,59.69362,Col1a1,11.82928,Rpl10,11.876119
Slc9a3r1,50.43545,Ahnak,39.405426,Dynlrb1,38.769096,Nrp1,71.137955,Loxl2,55.60494,Rplp0,41.584095,Ngfrap1,54.418484,Igfbp2,40.2078,Gmnn,48.8818,Rpl26,59.398415,Atp5e,11.732326,Tmem51,11.82728
S100a14,50.391155,Pmm1,39.29653,Ifi27,38.705772,Marcks,70.82299,Mmp14,55.58464,Hmgn3,41.47474,Taldo1,54.269985,Cdkn1c,39.997505,Rpl26,48.74601,Platr3,59.38547,Fkbp11,11.72832,Lrpap1,11.761498
Tmem63b,50.353622,Slc25a3,39.23987,Fmod,38.51847,Cxcl5,70.48039,Rnase4,55.42158,Set,40.850365,Ets2,53.920147,Msi1,39.99561,Eif4ebp1,48.663273,Gm13251,59.23868,Rpl24,11.727583,Slc2a3,11.747629
Prss8,49.90932,Cd44,39.06752,Comt,38.149277,Arhgdib,70.47412,Tnfrsf1a,55.36148,Hsp90ab1,40.523094,Csf1r,53.84865,Rps23,39.656055,Naca,48.398056,Ran,59.133358,Akr1a1,11.72664,Rpl34,11.738869
Klf6,49.847572,Spock2,38.92848,Txnip,37.85089,Fcgrt,70.27426,Mgp,55.309757,Rpl24,40.38602,Fabp3,53.57562,Mbd3,39.58002,Rps21,48.219738,Rps18,58.81802,Rps15a,11.649993,Bnip3,11.710946
Pvrl2,49.78846,Hspb11,38.434124,Rgs17,37.61647,Pdlim2,70.00941,Pdlim4,55.036125,Rpl10a,40.129665,Rhox5,53.511597,Tpt1,39.572662,Gnb2l1,47.945683,Taf7,58.605083,Rexo2,11.486892,Rrbp1,11.7031975
Dusp9,49.502693,Nfkbia,37.969196,Ddit4l,37.255985,Zbtb20,69.93254,Ctgf,54.903473,Cks1b,40.067993,2310030G06Rik,53.47554,Ranbp1,39.374466,Cox8a,47.792614,Cdca8,58.5739,Rpl6,11.48555,Rpl11,11.656495
Dstn,49.44371,Rpl8,37.948097,Ptrf,37.172043,Pmepa1,69.77987,Serinc1,54.76759,Psma7,39.931873,Tmem37,53.449306,Snrpd2,38.99531,Cisd1,47.787266,Top2a,58.25183,Eno1,11.315806,Wars,11.628392
Capg,49.3274,Rps3,37.882915,Pdia3,36.822895,Plxdc2,69.57176,Pdia3,54.749165,Bax,39.77168,Tmem9b,53.301132,Basp1,38.780457,Tmem147,47.711838,AA467197,58.19385,Capg,11.259845,Galk1,11.614308
Cdc42se1,49.276543,Txnip,37.819103,Fbn1,36.663628,Gja1,69.51315,Rcn2,54.699238,Malat1,39.448406,Parm1,53.27531,Rps4x,38.777378,Rpl9,47.6128,Platr27,58.13817,Rpl17,11.236339,Ptger3,11.5758
Hspb2,49.103317,Igfbp3,37.71815,Serinc3,36.647945,Cthrc1,69.17162,Ltbp2,54.62911,Rps10,39.43957,Serpinb6b,52.87593,Rps15a,38.63469,Rps2,47.065098,Gm2694,57.88607,Arpc1b,11.184128,Lgmn,11.535478
Cxcl16,49.07448,Rps27a,37.638462,Actg2,36.27626,Aspn,68.801605,Rhoa,54.61867,2010107E04Rik,39.229717,Map2k1,52.78956,Rps13,38.460052,Apex1,47.023415,Hspb1,57.827496,Cox6c,11.133337,Rpl21,11.493314
Lad1,49.057972,Cacnb3,37.42507,Msn,36.271587,Gpx7,68.50836,Rexo2,54.442814,Rpl13,39.086975,Eif5,52.755413,Atxn7l3b,38.402653,Tuba1b,46.9573,Trim28,57.42369,S100a4,11.0723295,Atp1a1,11.490924
Ap1m2,48.733696,Cobl,37.307552,Tnfrsf12a,36.209286,Adm,68.502075,Angptl2,54.387745,2810417H13Rik,38.997124,Otud5,52.50174,Vangl2,38.390373,Snrpa1,46.92599,Nr2c2ap,57.20406,Romo1,10.931334,Slc7a6,11.486362
Kctd1,48.57354,Rpl9,36.817398,Sod3,36.110397,Nupr1,68.33639,2200002D01Rik,54.348316,Snrpf,38.87537,Pcgf5,52.326782,Erh,38.30956,Bex1,46.75928,Spp1,57.011612,Cdkn2a,10.930378,Sepp1,11.4241495
Cyba,48.558285,Ociad2,36.532017,Dcxr,35.94115,Slc16a2,68.09104,Atf5,54.02887,Mrpl12,37.62944,Slc2a1,52.17718,Hdac2,38.17019,Rpl36,46.684406,Lncenc1,56.928787,Abracl,10.929552,Itga6,11.413415
Arid3a,48.47442,Rps13,36.36388,Col8a1,35.854805,Timp3,68.07123,Pdlim5,53.748024,Rps6,37.255074,Calm1,51.799023,Sox4,38.134636,Atp5b,46.627785,Arl14epl,56.874233,Pcolce,10.910485,Rpl7,11.410946
Reep4,47.942284,Adam23,36.21147,Gpx8,35.79276,Vmp1,67.97119,Fgf7,53.730026,Ramp3,37.17055,Vasp,51.75289,Crabp1,37.97804,Slc25a5,46.512196,Mcm3,56.85557,Tmed3,10.837562,Nrk,11.381867
Llgl2,47.80699,Rpl28,35.8623,Ctsl,35.653587,Ifi27,67.83348,Ccng1,53.615376,Sub1,37.154278,Ldoc1,51.742085,Nudt21,37.952236,Rps19,46.494755,Hsf2bp,56.85261,Cox7b,10.825532,Fam129b,11.37893
Adss,47.620266,Sod1,35.50856,Ndufa4l2,35.60102,Xaf1,67.720856,Wisp2,53.53889,Lyar,36.96939,Ddb1,51.282494,Zfp428,37.934742,Lsm7,46.277946,Smc1b,56.819874,Gsn,10.818592,Tyro3,11.362011
Efna5,47.512142,Ak3,35.393726,Aldh2,35.581387,Fbn2,67.67434,H13,53.52773,Gnl3,36.684864,Tmbim6,51.203056,Rpl18,37.81832,Pa2g4,46.22274,Cenpf,56.8061,Pgls,10.770522,Rpl30,11.319946
Pard6g,47.45946,Agpat4,35.084923,Sec62,35.30356,Lgals3bp,67.51297,Tnc,53.12843,Rpl27a,36.506657,Pxdc1,51.005905,2810417H13Rik,37.80488,Bex4,46.142487,H2afy,56.80056,Mrpl33,10.76561,Rps8,11.284382
Dag1,47.272446,Ifitm3,34.953262,Rcn3,35.188473,Ifit1,67.15502,Prkcdbp,53.085167,Txnl4a,36.454243,Creb3,50.838936,Ccdc34,37.686802,Cenpm,46.06906,Vbp1,56.743244,Ubl5,10.679434,Car8,11.175764
Utrn,47.096542,Atpif1,34.90138,Bsg,35.173836,Bgn,66.97909,Selk,53.026714,Tomm5,36.203117,Elf3,50.38419,Gstm5,37.51152,Sssca1,46.039185,Rpl18,56.67118,Sec13,10.659346,Slc16a3,11.1523285
Ddr1,47.063705,Plpp1,34.681618,Dap,34.959663,Tmsb10,66.88352,Plec,52.930824,L1td1,35.9641,Dnase1l3,50.31987,Sf3b2,37.453766,Pin1,46.020737,Gm13580,56.66731,Ndufa2,10.608326,Socs3,11.131032
Tbca,46.97485,Rpl12,34.56861,Cox6b2,34.667767,Efemp2,66.62834,Mdm2,52.79545,Wdr43,35.915066,Pip4k2c,50.061703,Igf2bp1,37.32884,Psat1,45.546757,Gdf3,56.442158,Sparc,10.604398,Ssr3,11.127836
Zwint,46.97348,Stmn2,34.332962,Fbln2,34.63773,Lpp,66.22117,Rab34,52.760372,Eif5a,35.820316,Prss12,49.911537,Ube2e3,37.30062,Hnrnpab,45.480556,Smc2,56.414238,Prdx6,10.596821,Adamts9,11.108306
Luzp1,46.84158,1500015O10Rik,34.198654,Axl,34.297543,S1pr3,65.985695,Lurap1l,52.616158,Epb41l4aos,35.28652,Chchd10,49.892147,Rbx1,37.22595,Ldha,45.333096,Hspd1,56.327667,Rps10,10.569044,Kdelr1,11.048644
Arf5,46.82364,Gngt2,33.952545,Rab34,34.28496,Prss23,65.96691,Serpinb6a,52.310207,Ran,35.23832,Myl4,49.855442,Cfl1,37.200607,Snrpd1,45.300987,Rpl22,56.326008,Atp5h,10.44535,Hkdc1,11.045265
Rassf7,46.78891,Fau,33.722958,Loxl3,34.12154,Qsox1,65.85114,Arpc1b,52.28708,Lsm6,34.318024,Dbi,49.837517,Pfdn5,36.983818,Tipin,45.241848,Tomm20,56.25155,Hint1,10.3966465,Rpl35a,11.028997
Ptges,46.690437,Rec8,33.704983,Ftl1,33.94975,Ctsb,65.821495,Asah1,52.257717,Sod1,34.17643,Cdh3,49.645348,Pfdn2,36.909313,Ddx39,45.13224,Nucks1,56.07124,Rpl14,10.348347,Rpl22,11.021672
Krt5,46.675156,Eef2,33.278175,Fzd1,33.89476,Synpo,65.561646,Pfn1,52.172207,Uqcrq,33.760075,Gpx4,49.62917,H2afx,36.89215,Pdap1,44.91204,Rpl17,55.96223,Cstb,10.274349,Cryab,11.0214615
Wfdc2,46.668175,Lrpap1,32.972763,Antxr1,33.797142,Tmem176b,65.501564,Mmp2,52.106823,Rpl30,33.66746,Tnfrsf9,49.333076,Acat2,36.775658,Slc7a3,44.870487,Dppa4,55.858486,Fau,10.261474,Pla2g12b,10.890688
Lsm2,46.525627,Cd81,32.949127,Gsn,33.3904,Phldb2,65.131905,Itm2b,52.10067,Ddx18,33.569958,Zfp706,49.200027,Rpl21,36.697105,Nolc1,44.87029,Rpp25,55.855614,Rpl21,10.251985,Pcgf5,10.878977
Ptbp3,46.40231,Ftl1,32.917492,Cd9,33.245358,Sh3pxd2b,64.15923,S100a6,52.046307,Cd109,33.380157,Rhob,49.12344,Crabp2,36.656693,Cyb5a,44.76114,Idh3g,55.82799,Cox5b,10.188704,Xist,10.861568
Nudt18,46.334988,Rps7,32.875366,Shisa5,33.23769,Tspan4,64.109856,Vcl,52.02983,Cenpw,33.34992,Fstl3,48.94716,Fam96a,36.599693,Ccnb1,44.75214,Mcm5,55.540115,Gm10036,10.183189,Parvb,10.858919
Alad,46.2807,S100a16,32.831326,Wisp1,32.91853,Ctsl,63.908787,Myl12a,52.001957,Pllp,33.176994,Atp11a,48.83767,Anp32e,36.590633,1110004E09Rik,44.677845,Rrm2,55.52063,2200002D01Rik,10.177105,Xbp1,10.80606
Espn,46.143528,Npm1,32.717922,Psrc1,32.78414,Nid1,63.779648,Csrp1,51.990448,Snrpd1,33.13311,Zbtb10,48.649895,Rtn1,36.40517,Pmf1,44.671146,Gm7325,55.46926,Rpl35,10.168793,Prkaa2,10.745656
Tmem120a,46.10814,Rpl4,32.54534,Itgb5,32.69139,Myl9,63.77945,Cnn1,51.880554,Cdk4,32.687714,Cdh5,48.644394,Ran,36.215763,Hmgn1,44.35477,Rpl27a,55.42034,Rps6,10.112652,Rps20,10.716549
Ntf5,46.073433,Rpl34,32.460342,Ndufa13,32.662758,Sulf1,63.520527,Tspan4,51.853798,Gpx1,32.49569,Anxa4,48.483494,C1qbp,36.214333,Rpl13,43.929916,Pfdn6,55.374954,Prkcdbp,10.003441,Gm10076,10.7076235
Pfdn1,45.977917,Hcfc1r1,32.0689,Egr1,32.442455,Rcn1,63.436966,Laptm4a,51.45691,Eef1g,32.17739,Fdx1,48.166916,Sf3b6,36.202457,Eif3i,43.83575,Ptges3,55.23399,Rps25,9.984114,Foxa2,10.700352
Hspb8,45.730618,Sbspon,31.96438,Tmem50a,32.37557,Fmod,63.162823,Kdelr3,51.43561,Rpl7,31.424458,Vamp8,48.021072,Rp9,36.092224,Podxl,43.823364,Tfcp2l1,55.17079,Rpl13,9.983232,Tagln2,10.695493
Pak2,45.685062,Nupr1,31.88537,Itgb1,32.343987,Tmem176a,62.237854,Fkbp1a,51.347057,Cox7a2,31.397655,Phactr1,47.965923,Pou3f2,36.06967,Hmgn3,43.66756,Igf2bp1,55.144386,Nme1,9.936875,Cdc42se2,10.653186
Agrn,45.61483,Aldoc,31.59451,Cd47,32.322952,Vcan,62.1675,P3h4,51.30365,Hmgb2,31.196617,Plpp2,47.822414,Sox2,36.04639,Phf5a,43.428745,Rpl12,54.886593,Uqcrq,9.932242,Podxl,10.641451
Rala,45.56997,Cib2,31.494099,Igfbp7,32.291584,Fkbp7,62.11585,Phldb2,51.259487,Mrpl42,31.103079,Abhd5,47.78115,Pantr1,36.028503,Cenpw,43.29922,Rps20,54.84802,Arpc3,9.918529,Lifr,10.624358
Fos,45.547222,Eif3h,31.087456,Ltbp2,32.182976,Oat,62.04041,Ltbp1,50.903057,Lsm3,31.094286,Slc38a4,47.675842,H2afz,35.979782,Cmtm7,43.288834,Cdk1,54.712036,Esd,9.918172,H1f0,10.619551
Rbpms,45.23341,Klf7,31.055454,Sep15,32.130806,Pmp22,61.834835,Copz2,50.839302,Slc25a5,31.064228,Pramef12,47.64158,Nt5dc2,35.776165,Eif3k,43.192425,Sall4,54.647564,2010107E04Rik,9.85305,Mdk,10.613017
Pgap2,45.216137,Rpl18,30.975063,Tpp1,32.096237,Ddah1,61.76161,Eva1b,50.722446,Lsm4,30.863518,Hsp90aa1,47.576653,Igdcc3,35.676807,Rps8,43.123383,Msh6,54.507595,Sdc2,9.8511915,Cat,10.591076
Adgrl2,45.11905,Coro1b,30.849487,Arpc1b,32.04241,B3gnt9,61.67694,Fhl2,50.558098,Ly6g6f,30.838547,Prr5,47.53735,Timm8b,35.66913,Nudt19,42.90117,Ash2l,54.062874,Hsbp1,9.730114,Pofut2,10.582678
Vasp,44.722076,Fth1,30.386953,Mmp23,31.905706,Fkbp9,61.377277,Wdr1,50.460136,Dut,30.552929,Rbms1,47.42848,Arl3,35.638424,Paics,42.854763,Crlf2,53.762688,Atp6v0e,9.686152,Ctgf,10.556151
Anxa3,44.605705,Rpl29,30.331198,Arl6ip5,31.869263,Htra1,61.265255,Rcn3,50.43708,Poldip2,29.911818,Pkp2,47.363647,Dlk1,35.63356,Snrpe,42.76697,Hk2,53.63561,Spcs1,9.661286,Egfl7,10.54429
Nrip1,44.500034,Pllp,30.325283,Ccdc80,31.630486,Emp1,61.185917,Sh3kbp1,50.321766,Laptm5,29.71233,Nrip1,47.211548,Eid1,35.551376,Psma7,42.75511,Cdc20,53.560528,Pdrg1,9.659599,Rpl19,10.5253525
Dusp22,44.471188,Cdkn1a,30.237442,Mmp14,31.197681,Tnfrsf1a,61.043854,Hist1h2bc,49.651203,Sfr1,29.19297,Wbp5,47.19546,Cnbp,35.50093,Fetub,42.747116,Acp6,53.53056,Anxa3,9.650693,Atp13a3,10.49542
Emp1,44.44848,Iqgap2,30.1218,Cnn2,31.101715,Fam114a1,60.91695,Flnc,49.64784,Podxl,28.810823,Bsg,47.0556,Ndufc2,35.271915,Ppan,42.745308,Fgd1,53.423298,Rpl39,9.634588,Myl7,10.449256
Scd2,44.36262,Eef1g,30.088173,Ncam1,31.084513,Tgfbr2,60.85109,Arl6ip5,49.420403,Rpl3,28.3503,Serpine1,47.023613,Rps8,35.200886,Clns1a,42.739548,Dbf4,53.419846,Snx7,9.548879,Ctsl,10.432558
Lama5,44.321987,Ccl2,29.942339,Thy1,30.975054,2310022B05Rik,60.81506,Actn4,49.384148,Eif2s2,28.079235,Fam89a,46.99604,mt-Co1,35.200325,Uqcr11,42.67319,Ccna2,53.29562,Gng11,9.419941,Rpl35,10.412619
Pabpc1,44.24099,Kazald1,29.930965,Atp6v0e,30.789692,Fkbp10,60.720993,Slc39a7,49.19446,Cdca3,27.806602,Dnajb1,46.970394,Mpnd,35.04761,Rpl32,42.62307,Nap1l1,53.262253,Ndufa5,9.348036,Hmgb3,10.405421
Dlgap4,44.07841,Ddah1,29.197897,Mgmt,30.634783,Shisa5,60.619114,Nfic,49.0953,Knop1,27.751272,Tspan14,46.77514,Rps3,35.040394,Chchd10,42.54889,Uchl3,53.04836,Rpl31,9.313022,Hdlbp,10.391269
Wnt10a,43.992416,Zfp704,29.109228,Nfic,30.612213,Ccdc85b,60.194584,Antxr1,49.078445,Id2,27.659157,Wdr1,46.732647,Ngfrap1,34.866543,Rplp2,42.3885,Rpl35a,53.038074,S100a13,9.303097,Serpinb6a,10.386257
Tes,43.933144,Ccl7,29.10855,Spp1,30.330322,Vim,60.169014,Actb,48.969543,Ndufb8,27.534315,Ldlr,46.725258,Uqcrfs1,34.836964,Eno1,42.21032,Igfbp2,52.89824,Atpif1,9.29365,Igf2bp1,10.337109
Psme1,43.873936,Arid5b,28.968231,Cryab,30.155985,Laptm4a,59.945515,Shisa5,48.959835,Txn1,27.471384,Uaca,46.697117,Nabp2,34.706566,Acot7,42.170856,Snrpe,52.825184,Tbca,9.249577,Frzb,10.330865
Mall,43.784607,Nacc2,28.90803,Zc2hc1a,30.052885,Olfml3,59.848484,Fat1,48.952614,Sgol1,27.434628,Lcp1,46.67215,Dynlt1f,34.62045,Ppa1,42.09987,Hprt,52.708797,Ppib,9.228011,Med9,10.330062
Myl12a,43.721466,Timp1,28.893467,Ppp3ca,29.909225,9530068E07Rik,59.602844,Rrbp1,48.9393,Sms,27.243431,Efhd2,46.66237,Metrn,34.60135,Top2a,42.02176,Odc1,52.661736,Atox1,9.220068,Porcn,10.326183
Cd2ap,43.721382,Wdr6,28.887459,Nfix,29.703514,Tspo,59.53117,Hspa5,48.86341,Rpl10,27.204187,Pdlim2,46.528336,Hnrnpdl,34.530098,Mrto4,42.00086,Ccnb1,52.66067,Npc2,9.211066,Ctns,10.206902
Stxbp2,43.67797,Rpl38,28.880516,Ecm1,29.653831,Selk,59.374294,Dynlt3,48.84852,Tmem147,26.992138,Ctnna1,46.52633,Kif21a,34.51981,2610318N02Rik,41.975426,Zfp428,52.621445,Pfdn5,9.191709,Cited2,10.184865
Esrp1,43.659294,Mgst3,28.592579,Tmbim4,29.554384,Ptrf,59.124516,Itpripl2,48.26539,Slc7a3,26.887016,Litaf,46.407528,Calm3,34.47614,Snrpn,41.950996,Ak4,52.58217,Atf5,9.106674,Ghr,10.151997
Ssbp3,43.638714,Ano1,28.518017,Zfhx3,29.54166,Fndc3b,59.106533,Loxl1,48.236046,Rpl36al,26.876802,Flnb,46.388035,Dek,34.136463,Ly6g6c,41.902798,Rpl14,52.49551,Dynlt3,9.085533,Phactr2,10.117988
Plpp2,43.611282,Il34,28.486357,Xist,29.50903,Gpm6b,58.87137,Nrp1,48.16637,Gm26917,26.708788,Adgrg6,46.365437,Fez1,34.11149,Nme1,41.78404,Gpx4,52.324505,Cox7c,9.084301,Lamp1,10.08827
Tspan9,43.5989,Flnb,28.29198,Flna,29.364935,Bst2,58.807796,Vat1,48.125736,Cox7b,26.584394,Fbxl19,46.267548,Tecr,34.111217,Arpc5l,41.57028,Gabarapl2,52.28542,Rps7,9.048914,Cltc,10.087954
Ppl,43.55782,Ptms,28.269054,Gadd45g,29.179024,Ebf1,58.776882,Hs6st2,48.120525,Srsf3,26.102167,Cxx1a,46.1643,Snrpd3,34.036106,Mlf2,41.468147,Tomm40,52.268887,Gm2000,9.006505,Glipr2,9.9245205
Plac8,43.502823,Crip2,28.22874,Dhrs3,28.98411,Ski,58.722187,Csf1,48.02547,Nedd8,25.689377,Fam104a,46.14629,Tspan6,33.98849,Slc25a3,41.342613,Rbmx2,52.256893,Swi5,8.990244,Ostc,9.919203
Brd3,43.497387,Gpi1,28.221167,Marcks,28.977282,Mme,58.496372,Hspg2,48.022896,Abcf1,25.503605,Fndc3b,46.022266,Uqcc2,33.961823,Hmgn2,41.0948,Tubb2b,52.142258,Rps24,8.953331,Meg3,9.895985
Cystm1,43.368206,Rpl41,28.180342,Npdc1,28.868608,Itgb1,58.41007,Gas6,47.94506,Ccnb2,25.431988,Ddr1,45.972343,Nsg2,33.85106,Mrpl36,41.04438,Tfrc,52.123238,Cox5a,8.9170685,Mtss1,9.862769
Dsg2,42.987473,Ssu72,28.104073,Nedd4,28.579573,Igf1,58.325375,Capg,47.88547,Top2a,25.280643,Rdx,45.928596,Snrpb2,33.746006,Rpl37,41.03209,Cct7,51.81914,Col1a2,8.9064045,Crim1,9.838593
Rpl4,42.854538,Crip1,27.876902,Pdlim4,28.211779,Arpc1b,58.198666,Htra1,47.840603,Bex4,25.258959,Chmp6,45.86238,Phf5a,33.600033,Rps10,40.79893,Mphosph8,51.811966,Ftl1,8.873807,Cox7a2l,9.780113
Ralb,42.712147,Gm10036,27.11257,Rrbp1,28.206032,Angptl2,58.184464,Plxdc2,47.828194,Paics,24.846968,Car4,45.853176,Rpl32,33.467422,Rplp1,40.69133,Aqp3,51.784073,Rpl7,8.8698015,Btg1,9.77499
Arap2,42.700596,Uchl1,26.957253,Igfbp3,28.140648,Dcn,58.13535,Cpe,47.796875,Hnrnpm,24.624676,Wbp1l,45.76479,Lsm6,33.41344,Rrp9,40.682716,Pim1,51.703754,Gtf2h5,8.8193865,Atp1b1,9.72847
AI661453,42.623207,Mxd4,26.95403,Nrp1,28.110638,Egr1,58.0145,Fas,47.76507,Npm3,24.55945,Nid1,45.739883,Rpl3,33.32225,Rpl11,40.493668,Tcl1,51.6649,Hacd1,8.773522,Klf4,9.655625
Ier2,42.603123,Use1,26.797667,Hs6st2,27.73125,Thra,58.01167,Itga5,47.69343,Ndufc1,24.55699,Larp4b,45.62684,Fubp1,33.301537,Isyna1,40.479904,Plekha4,51.61928,Serpinh1,8.759508,Rpl39,9.602673
Rell1,42.595127,G6pdx,26.77644,Ehd2,27.612537,Medag,57.94912,Col6a1,47.671326,Emg1,24.498823,Actr2,45.604374,Ube2d1,33.276142,Zfp706,40.141727,Npm3,51.502754,Eif3e,8.745374,Rps15a,9.547372
Fam3c,42.50674,Dusp14,26.717175,Cyba,27.611914,Hs6st2,57.809383,Dkk3,47.54032,Snrnp27,24.429762,Gm648,45.55756,Hmgn1,33.208683,Ssrp1,40.132305,Ssbp1,51.38936,Rcn1,8.744575,Car2,9.481306
Vamp8,42.505283,Rpl23a,26.161335,Ergic3,27.556843,Ltbp3,57.737423,Ccdc80,47.487232,Rpl23a,24.163765,Hand1,45.542816,Trp53i11,33.096745,Syce2,39.996902,Tceb1,51.346718,Mustn1,8.728111,Bex4,9.473795
Pafah1b3,42.44772,Sfxn3,25.947475,Osmr,27.506584,Aqp1,57.579357,Tmem50a,47.333687,Grb10,24.032475,Gng5,45.540413,Yeats4,32.98886,Ramp3,39.971577,Klf2,51.252983,Calm3,8.725442,Rpl32,9.462379
Atxn7l3b,42.43366,Chst3,25.941105,Phldb2,27.433409,Vcam1,57.500683,Col3a1,47.27969,Spc24,23.940962,Serpinb9c,45.240116,Rpl27a,32.919388,Stoml2,39.80313,Hspa9,51.06939,Rps8,8.680581,Dnajc10,9.416819
Cdc34,42.352478,Bax,25.89397,Fgf7,27.087305,Ncam1,57.478535,Rtn4,47.253376,Ranbp1,23.559246,Triobp,45.19488,Rpl35a,32.818382,Pfdn1,39.64531,Mcm2,51.05147,Krtcap2,8.660976,Rps18,9.413678
Psme2,42.224083,Wbp1,25.69899,Cdh11,27.060263,S100a13,57.365433,Anxa1,47.16374,Atpif1,23.414173,Pkp3,45.119156,Snrpa,32.693394,Cox7a2,39.525734,Asns,50.981174,Capns1,8.658418,Gga2,9.411251
Sox9,42.094604,Rpl13,25.264559,Col5a1,26.95036,Ckap4,57.34447,Actr3,47.1356,Acot7,23.274979,Itgb3,45.048965,Chchd2,32.662582,Snrpb,39.42458,Txn1,50.95421,Rps27a,8.61743,Rffl,9.364799
Notch1,42.053974,Rps23,24.731674,Mfge8,26.94772,Rarres2,57.317562,Tmed3,47.128475,Snhg9,23.155115,Cdk2ap2,44.937355,Xist,32.606792,Wdr43,39.41904,Smc3,50.825,Tceb1,8.588648,Rps11,9.351248
Tmc4,42.040775,Rnf19a,24.48318,Perp,26.783895,Htra3,57.087193,Ahnak2,47.085255,Psat1,23.040977,Gng12,44.91798,Prmt1,32.6012,Fkbp3,39.239582,Tex19.1,50.73555,Shfm1,8.539309,Me1,9.347028
Hat1,41.914616,Pcolce2,24.393845,H3f3b,26.706451,Hdlbp,57.054737,Ptk7,47.066338,Fbl,22.980253,2310036O22Rik,44.741196,Mageh1,32.516808,Polr2f,39.112404,Lactb2,50.64721,Msrb1,8.53844,Emc6,9.335179
Rnf128,41.85152,Acsbg1,24.389122,Itga11,26.67568,Tm4sf1,57.009552,Ifngr2,46.868782,Psmg4,22.824415,Mbnl2,44.57715,Smarce1,32.514973,Agpat4,39.064392,Rpl8,50.525604,Map1lc3b,8.435398,Gfpt1,9.334323
Bbx,41.768993,1810058I24Rik,24.353851,Tpm4,26.585209,Pofut2,56.93718,Glipr2,46.85121,Cfdp1,22.687166,Cxx1b,44.506428,Ddx39b,32.49962,Rsl1d1,38.977222,Rbm17,50.519066,Ostc,8.426299,Ssr4,9.313226
Ormdl2,41.76707,Rpl24,24.23737,Lpp,26.557571,P4ha2,56.84659,Rassf1,46.81251,Srp19,22.656158,Ubb,44.485943,Syt11,32.409645,Hmces,38.931885,Gtsf1l,50.50301,Csrp2,8.303511,Rpl13,9.307312
Arhgef5,41.75565,Nnat,24.165863,Tpm1,26.53741,Ehd2,56.79533,Gadd45g,46.80486,Gm10036,22.63937,Adra2b,44.255154,Chchd1,32.405777,Uqcr10,38.903812,AI662270,50.322174,Cfl2,8.237389,Sgpp1,9.299728
Parm1,41.681713,L1td1,23.97828,Arid5b,26.501322,Fosl2,56.746708,Nradd,46.681347,Rpl5,22.628363,Tbc1d10b,44.189457,Rps10,32.35832,Polr2e,38.7671,Rplp1,50.314133,Psmb5,8.221126,Limd2,9.269554
Gpx3,41.637897,Prr13,23.81319,S100a10,26.35683,Itgb5,56.716625,Glipr1,46.671425,Rcc2,22.38441,Krt14,44.02762,Ccdc28b,32.307224,Ccna2,38.675175,Cox7c,50.27323,Fbln2,8.2104,Msl3,9.242821
Arhgap8,41.634018,Ebp,23.702612,Thra,26.24524,Zbp1,56.547173,Serpine1,46.63404,Ppp1ca,22.20275,Dsg2,43.828403,1110004F10Rik,32.217846,Dmrtc2,38.630653,Lsm3,50.189808,Cald1,8.179867,Tspan9,9.23282
Zfp36,41.48631,Nxn,23.546083,Srp14,26.22373,Cyr61,56.53165,Dap,46.507736,Fkbp3,22.18675,Liph,43.763397,Psmb7,32.141804,Nabp2,38.42047,Snrpb,50.065216,Rpl12,8.167258,Rpl18,9.199432
Fam83h,41.466198,Commd3,23.352474,Npc2,26.21541,Kdelr2,56.47001,Fads3,46.353607,Eif4ebp1,22.130415,Dnaja2,43.74938,Sdhb,32.02007,Hnrnpdl,38.336197,Mcm6,50.000378,Rpl27a,8.126364,Procr,9.19886
Lgals7,41.452137,Mras,23.35084,Qsox1,26.170765,P4ha1,56.35038,Sept7,46.28357,Eif5b,21.981659,Tuba1c,43.740536,Chchd6,31.94078,Timm13,38.295208,Ubxn2a,49.974865,Ufc1,8.124586,Hacd1,9.1472845
