cluster 0 gene,cluster 0 score,cluster 1 gene,cluster 1 score,cluster 2 gene,cluster 2 score,cluster 3 gene,cluster 3 score,cluster 4 gene,cluster 4 score,cluster 5 gene,cluster 5 score,cluster 6 gene,cluster 6 score,cluster 7 gene,cluster 7 score,cluster 8 gene,cluster 8 score,cluster 9 gene,cluster 9 score,cluster 10 gene,cluster 10 score,cluster 11 gene,cluster 11 score
Slc25a27,2.3304543,Crb2,-1.3118974,Zscan29,-1.043547,Lrrc29,0.78147185,Ddx42,3.03203,Tnfaip8l1,-1.7136605,Wtip,0.52720886,Klhl6,0.084209,Dnali1,-0.16451715,Clcn1,0.8462164,Mrgprf,-0.6342055,Nol4,-0.017867934
Atp6v0e2,2.3303435,Tex13,-1.3119235,Micalcl,-1.0435501,C1ql3,0.7803092,Matn4,3.030667,Prrg1,-1.7155906,Gata1,0.52591205,Pcsk9,0.08419117,Ubd,-0.16452534,Madcam1,0.84611404,Gm21781,-0.63538766,Gm26733,-0.017867934
Rasgrp1,2.3293269,Gimap9,-1.312363,Grik3,-1.04412,Gm43848,0.77955663,Klhl2,3.0296023,Tbkbp1,-1.7171217,Tmem231,0.5256555,Gm3558,0.08417058,Trim66,-0.16453108,Rnf170,0.84591234,Tmtc1,-0.6355005,Zfp663,-0.017867934
Osbpl2,2.3279674,Cav2,-1.3141996,Fam217b,-1.0445392,Junos,0.7779967,Nudc,3.0259535,Rilp,-1.7182965,Mpeg1,0.5247664,Ttc41,0.08415909,Pilra,-0.16453354,Wiz,0.8437169,Crmp1,-0.63598996,Robo4,-0.017867934
Smyd4,2.325821,Mettl24,-1.3143111,Gm10031,-1.0453249,5730508B09Rik,0.77797776,Zfp937,3.0255973,Pgap1,-1.7187529,Clcn5,0.5244564,Ccdc146,0.08411472,Mecomos,-0.16471387,Plekhg4,0.84344727,Recql4,-0.6365922,9530052E02Rik,-0.017867934
Gpatch3,2.325301,Ccdc138,-1.3145753,Tmem117,-1.0458436,Rapgef2,0.7775142,Atp7a,3.023134,Adarb1,-1.7191124,Gm17196,0.52173585,Tmem130,0.083062574,0610012D04Rik,-0.16471387,Ipmk,0.84145266,Shox2,-0.6372668,Dnah6,-0.017867934
Fam111a,2.3243704,Ifnk,-1.3146971,Aldh1b1,-1.0458512,Hrct1,0.7767637,Aqp1,3.0199783,Rnf125,-1.7197785,Harbi1,0.52117896,Gm38399,0.082814984,RP24-274B19.1,-0.16471387,Nagpa,0.8413098,Gm12258,-0.6377967,Zfp287,-0.017867934
AI597479,2.3241422,Tmsb15b2,-1.3151011,Glrb,-1.0460759,Ccdc39,0.77652824,Pabpc4l,3.0194752,2510017J16Rik,-1.7212787,Susd2,0.5187643,Gm16364,0.082695745,Gm19719,-0.16471387,Pus7l,0.84042853,Cd14,-0.6380063,Sorcs3,-0.017867934
Alox12,2.3239987,Gm43573,-1.3170859,Akr1b10,-1.0461916,Zc3h10,0.7759543,Hist1h4h,3.0177767,Serpinb10,-1.7219099,Setd1a,0.5184076,Egr3,0.08254046,Gm12979,-0.16471387,Ttc9b,0.8394807,Fxyd1,-0.6381117,Rpl21-ps4,-0.017867934
Wasf1,2.3210714,Thada,-1.3171444,Tchh,-1.0462766,Ano8,0.7747435,Rab40b,3.016793,Prrg3,-1.721928,Csn3,0.51809347,Fam195a,0.082511544,Clps,-0.16471387,B3gnt4,0.8385245,Wscd2,-0.6393811,Psg28,-0.017867934
Tmed5,2.320507,3830403N18Rik,-1.3187912,Scrt2,-1.0472049,Fam188a,0.7746967,Plcd4,3.0160122,Lrrc34,-1.7248379,Gm3604,0.5149846,Gm16552,0.08250481,Gm595,-0.16471387,Cspg5,0.83821875,Cxcl2,-0.6398493,Gm5152,-0.017867934
Myo19,2.3199155,Fam57b,-1.319155,Itsn1,-1.0473139,Dock10,0.7735962,Wnt16,3.0159912,Zfp763,-1.7253865,2700049A03Rik,0.5148896,Ormdl1,0.08246123,Gsg1l,-0.16471387,Jph1,0.8369934,Ifnlr1,-0.6398536,Fbp1,-0.017867934
Rpl23a-ps3,2.3181694,Cops7a,-1.3197336,Mir124a-1hg,-1.0474647,Asb16,0.7725105,Tmem62,3.0158353,Aldh1l1,-1.7264196,3300002A11Rik,0.5146279,Nupl1,0.08210352,1700021F13Rik,-0.16471387,Zfp961,0.8369747,8030474K03Rik,-0.6402058,Hemgn,-0.017867934
Tmco4,2.3178596,Zfp583,-1.3201085,Gm9888,-1.0488092,4732491K20Rik,0.7719973,Golm1,3.0154974,mt-Co3,-1.7268296,Gm15614,0.51381,Tnfrsf13c,0.082049645,Kcnj4,-0.16494256,9330020H09Rik,0.83689845,Prr36,-0.64080805,Gm15138,-0.017867934
Stx3,2.3141575,Bend6,-1.3206834,Efr3b,-1.0491213,Gm17308,0.77027345,Dph7,3.0148704,Onecut2,-1.7270418,Rims4,0.5135772,Zfp346,0.08189792,Xkr6,-0.16576798,Fdxacb1,0.83560646,Cyp26a1,-0.64086974,Slc2a12,-0.017878272
Bbs7,2.3120728,Adgrv1,-1.3219084,Csrnp3,-1.0493408,Gsto2,0.7692103,Acot2,3.010787,Agbl5,-1.7274833,RP24-177G14.2,0.512818,2310074N15Rik,0.08178542,Bche,-0.16577864,Alox12e,0.83145994,Ppp1r3g,-0.6409634,Zfp759,-0.017936165
Edn3,2.3120134,Tnnc1,-1.3230562,Mettl24,-1.0507598,Gm9913,0.7668676,Per2,3.0104237,Triml2,-1.727727,Ccdc180,0.5125091,Birc2,0.08170897,Hccs,-0.16580732,Aym1,0.83006734,Cacnb1,-0.6417125,Zfp821,-0.018074691
Sik3,2.3111322,1700016K19Rik,-1.3242486,Zfp111,-1.0510103,Gpatch11,0.76641583,Rac3,3.0100777,Upp1,-1.7282358,Cidec,0.5125002,1810012K16Rik,0.081525154,Cdh10,-0.16583437,Cfap126,0.8293878,Fads2,-0.64179015,Gm27011,-0.018176002
Il15,2.3109899,Nell2,-1.3245211,Begain,-1.0511355,Fam161a,0.7648,Zfp213,3.0100033,Zfp367,-1.7286755,Gm11205,0.5115394,Adora1,0.081263706,1700124L16Rik,-0.16583928,C87436,0.8291007,Il15,-0.6420636,Dph1,-0.018176002
Tbl3,2.3104424,Yjefn3,-1.3253335,Mycbpap,-1.0512074,Gm10638,0.7627041,Fahd1,3.0097947,Hspa12a,-1.729479,Casc1,0.5109302,Strip2,0.0809765,2410137M14Rik,-0.1659897,D630024D03Rik,0.828297,Trim21,-0.6426191,Otud7a,-0.018176002
Cpne2,2.3104022,Prkg1,-1.3254318,Cd164l2,-1.051214,Platr22,0.7625156,Ccdc68,3.0081959,B3gntl1,-1.7307384,Pnma1,0.5097151,Myh6,0.08093372,Zbtb7a,-0.16602331,Sntb1,0.82812935,Gm26569,-0.64264673,Otop1,-0.018176002
Zfp956,2.3103075,Cidea,-1.3263196,Sall2,-1.052434,Dzank1,0.76202273,Shq1,3.0067716,Ppp2r2d,-1.7310563,Ly96,0.50877917,D2hgdh,0.080616415,Wbscr16,-0.16610035,Creg2,0.82609504,Krt13,-0.6428787,Ano5,-0.018176002
Fam219b,2.3092394,Tbc1d5,-1.3270732,Ednra,-1.0531029,Ntrk3,0.76186985,Fam13b,3.0058157,Slc45a3,-1.7334949,Sec13,0.5085137,Raet1e,0.08055422,Gm12280,-0.16617535,Ndufa11,0.82523346,Zfp354a,-0.64307666,D630023F18Rik,-0.018176002
Tmem167b,2.305138,Scg3,-1.3285652,Calca,-1.0531904,Cend1,0.7610912,Dact1,3.0031686,Adtrp,-1.7335443,Fadd,0.507113,Gm17529,0.08032604,Lncpint,-0.16623683,Tspan8,0.8243426,Onecut2,-0.6432171,Tmem255a,-0.018176002
Taf8,2.3049734,Gm9843,-1.3292422,Fchsd1,-1.0535486,Xrcc4,0.7601706,Mnda,3.000797,Gm3550,-1.7345561,9530052C20Rik,0.5064295,6330562C20Rik,0.080098264,Mapkapk5,-0.16623807,Hs3st6,0.82415444,Opn3,-0.64360654,Ascl3,-0.018176002
Spred2,2.3049486,Zfp65,-1.3300145,Gbx2,-1.0537028,Gpkow,0.758834,Pla2g6,2.9998128,4930522L14Rik,-1.7385517,Kndc1,0.50569,3830408C21Rik,0.07948266,Gpr22,-0.16636102,1010001B22Rik,0.82327455,Aox1,-0.6437864,Tgtp2,-0.018176002
Shisa4,2.3047523,A930029G22Rik,-1.3300465,Clec16a,-1.0541968,Ttll8,0.75839055,Phkb,2.9993005,Gpr35,-1.7387931,Siae,0.50560606,B430218F22Rik,0.079454534,Nphp3,-0.16636102,Fabp6,0.82153255,Efhc2,-0.64381933,Dcaf12l2,-0.018176002
Zufsp,2.3040597,Zfp612,-1.3305478,Hist1h2af,-1.0559031,Zfp598,0.7580045,Acot11,2.993193,Ccl9,-1.7391227,Gm15138,0.5050644,Gm7008,0.07942918,Mx1,-0.16636102,Zdhhc24,0.82135874,Aldh1l1,-0.64381933,Cacna1i,-0.018176002
Gstm4,2.3023307,Traf3,-1.3307616,Ccdc88b,-1.0560207,Myh11,0.7567369,Nsdhl,2.9876335,Trmt44,-1.7391373,Nptn,0.5044559,Zfp808,0.079409376,Sgip1,-0.16636102,Klk11,0.8212821,Cbr2,-0.64393,Ankrd66,-0.018176002
